iter_count,highest_fit,best_circuit,no_units,iter_max,best_count_lim,p_mutation,p_crossing,no_circuits,value_weight,waste_weight
495,165.753,4 2 8 9 6 5 9 2 1 2 0 10 2 7 11 5 4 2 3 5 7 ,10,5000,200,0.01,0.9,100,100,500
210,22.3828,1 5 1 4 9 9 3 4 11 8 7 10 7 2 0 4 9 10 6 4 2 ,10,5000,200,0.01,0.9,100,100,500
211,36.0288,3 7 6 10 5 0 3 2 9 0 11 10 7 8 4 1 9 7 3 7 0 ,10,5000,200,0.01,0.9,100,100,500
211,36.0288,3 7 6 10 5 0 3 2 9 0 11 10 7 8 4 1 9 7 3 7 0 ,10,5000,200,0.01,0.9,100,100,500
825,165.753,4 6 1 8 2 7 11 6 0 6 9 10 6 5 8 5 4 5 7 6 3 ,10,5000,200,0.01,0.9,100,100,500
1376,165.753,9 10 5 0 9 1 11 5 4 5 8 0 7 5 3 0 1 7 2 5 6 ,10,5000,200,0.01,0.9,100,100,500
899,165.753,2 7 1 7 3 7 4 9 6 7 0 8 2 5 11 8 9 10 7 8 5 ,10,5000,200,0.01,0.9,100,100,500
845,165.753,3 8 2 7 3 8 4 8 6 9 5 1 11 8 0 10 8 7 9 7 1 ,10,5000,200,0.01,0.9,100,100,500
437,161.069,0 9 1 9 5 4 0 9 7 10 9 9 3 9 8 9 6 2 11 4 2 ,10,5000,200,0.01,0.9,100,100,500
700,165.753,3 9 1 9 6 7 8 9 0 2 5 8 11 9 4 10 9 7 3 7 2 ,10,5000,200,0.01,0.9,100,100,500
215,41.3787,9 5 7 8 6 5 4 8 0 5 11 9 3 1 2 8 1 10 5 3 6 ,10,5000,200,0.01,0.9,200,100,500
818,139.638,0 6 1 6 4 10 6 10 2 8 5 7 9 3 8 2 0 3 7 7 11 ,10,5000,200,0.01,0.9,200,100,500
1126,165.753,1 8 7 6 9 7 11 6 4 0 2 6 3 8 0 8 1 10 6 6 5 ,10,5000,200,0.01,0.9,200,100,500
1287,165.753,0 8 6 10 8 8 3 9 4 7 11 8 2 8 5 1 0 1 9 1 7 ,10,5000,200,0.01,0.9,200,100,500
1114,165.753,3 9 4 6 2 0 5 6 7 9 3 4 11 9 0 6 8 6 1 10 6 ,10,5000,200,0.01,0.9,200,100,500
1048,165.753,3 6 4 2 3 10 6 6 8 6 7 1 11 2 9 9 5 6 0 2 1 ,10,5000,200,0.01,0.9,200,100,500
726,107.276,1 6 3 2 7 4 8 6 1 10 6 8 9 10 2 3 5 2 0 8 11 ,10,5000,200,0.01,0.9,200,100,500
888,165.753,7 10 8 0 3 3 11 0 7 1 2 8 9 8 4 8 5 0 1 8 6 ,10,5000,200,0.01,0.9,200,100,500
1094,165.065,4 8 4 5 3 8 0 5 7 5 1 8 2 0 11 5 9 10 5 5 6 ,10,5000,200,0.01,0.9,200,100,500
211,42.9939,2 7 1 7 2 4 9 6 4 7 1 7 0 8 5 10 3 0 11 4 8 ,10,5000,200,0.01,0.9,200,100,500
1205,165.753,6 7 2 7 0 7 8 10 7 3 9 9 11 7 1 3 4 4 5 3 6 ,10,5000,200,0.01,0.9,300,100,500
1361,165.753,1 8 2 0 4 8 6 2 9 0 5 0 7 8 1 0 3 10 0 6 11 ,10,5000,200,0.01,0.9,300,100,500
888,165.753,6 1 9 10 0 9 5 0 7 0 2 8 11 0 3 0 4 1 6 1 8 ,10,5000,200,0.01,0.9,300,100,500
399,67.3782,5 4 8 2 9 10 7 5 11 6 1 1 0 8 4 10 4 9 3 2 5 ,10,5000,200,0.01,0.9,300,100,500
776,88.9733,7 10 3 8 7 9 1 8 9 2 5 6 11 3 2 9 4 10 0 8 6 ,10,5000,200,0.01,0.9,300,100,500
214,61.7087,3 7 4 10 9 1 0 7 0 3 6 1 2 7 11 8 5 9 1 10 7 ,10,5000,200,0.01,0.9,300,100,500
403,106.003,7 4 2 5 11 4 1 10 4 8 5 9 6 3 7 4 0 9 3 10 8 ,10,5000,200,0.01,0.9,300,100,500
605,129.573,5 6 5 9 2 0 11 7 1 10 6 6 3 8 7 8 9 10 4 4 0 ,10,5000,200,0.01,0.9,300,100,500
643,112.768,8 10 3 3 9 0 6 0 2 2 7 0 6 0 8 5 11 3 1 8 4 ,10,5000,200,0.01,0.9,300,100,500
1034,165.023,1 9 5 9 4 7 8 1 11 9 6 2 3 9 0 10 9 7 1 7 2 ,10,5000,200,0.01,0.9,300,100,500
403,71.6584,8 5 8 2 0 0 9 1 7 5 1 10 9 9 3 4 11 9 6 5 1 ,10,5000,200,0.01,0.9,400,100,500
616,124.946,2 10 1 0 4 1 3 1 9 0 2 1 11 7 5 0 4 1 6 1 8 ,10,5000,200,0.01,0.9,400,100,500
442,56.1187,3 6 11 6 0 5 3 9 7 3 2 10 8 5 2 2 1 5 4 8 6 ,10,5000,200,0.01,0.9,400,100,500
645,127.974,8 9 5 8 11 6 0 2 1 7 3 9 4 10 9 6 2 9 0 6 7 ,10,5000,200,0.01,0.9,400,100,500
417,50.6691,3 9 7 0 2 9 5 7 6 10 8 7 11 8 1 8 0 4 3 7 8 ,10,5000,200,0.01,0.9,400,100,500
437,46.9146,4 10 5 3 7 1 11 10 8 1 2 9 3 0 4 3 6 9 1 7 0 ,10,5000,200,0.01,0.9,400,100,500
959,104.996,8 3 4 2 5 3 0 10 5 3 8 3 2 1 9 1 11 2 6 4 7 ,10,5000,200,0.01,0.9,400,100,500
613,140.243,5 1 9 3 2 3 6 10 1 6 11 1 7 3 0 2 8 6 4 3 5 ,10,5000,200,0.01,0.9,400,100,500
504,55.0984,2 8 6 7 11 4 3 6 1 8 0 10 8 5 2 9 4 10 4 10 0 ,10,5000,200,0.01,0.9,400,100,500
244,65.9982,9 8 3 5 6 1 0 6 11 0 2 10 7 7 9 10 8 7 1 6 4 ,10,5000,200,0.01,0.9,400,100,500
297,46.9728,4 8 5 0 6 10 8 2 0 3 1 2 9 4 7 8 11 2 5 6 4 ,10,5000,200,0.01,0.9,500,100,500
419,101.207,0 6 8 0 2 7 0 1 11 8 9 2 4 7 2 10 6 6 5 6 3 ,10,5000,200,0.01,0.9,500,100,500
401,73.5328,2 9 7 0 8 3 4 7 1 9 5 8 11 0 2 10 3 7 6 7 1 ,10,5000,200,0.01,0.9,500,100,500
255,37.0559,4 1 6 10 3 0 8 0 5 0 8 7 0 1 2 6 9 0 9 0 11 ,10,5000,200,0.01,0.9,500,100,500
