iter_count,highest_fit,best_circuit,no_units,iter_max,best_count_lim,p_mutation,p_crossing,no_circuits,value_weight,waste_weight
228,24.8163,2 1 2 5 4 4 3 4 6 1 0 ,5,5000,200,0.1,1,100,100,500
300,24.8163,2 4 2 3 6 3 1 4 0 5 3 ,5,5000,200,0.1,1,100,100,500
238,24.8163,2 3 2 4 6 4 1 5 4 3 0 ,5,5000,200,0.1,1,100,100,500
236,21.5301,0 1 2 4 3 3 6 4 0 5 1 ,5,5000,200,0.1,1,100,100,500
411,24.8163,4 5 3 3 6 0 4 0 2 3 1 ,5,5000,200,0.1,1,100,100,500
213,24.8163,3 5 1 0 2 0 3 1 4 1 6 ,5,5000,200,0.1,1,100,100,500
233,24.8163,0 4 1 4 6 5 4 2 0 2 3 ,5,5000,200,0.1,1,100,100,500
222,24.8163,2 4 3 0 6 0 1 4 2 5 0 ,5,5000,200,0.1,1,100,100,500
286,24.8163,1 4 3 0 2 0 6 4 1 5 0 ,5,5000,200,0.1,1,100,100,500
255,24.8163,2 1 4 5 0 0 3 0 6 1 2 ,5,5000,200,0.1,1,100,100,500
220,24.8163,1 3 4 0 2 0 6 5 0 3 1 ,5,5000,200,0.1,0.9,100,100,500
255,24.8163,4 1 4 5 2 1 0 2 6 2 3 ,5,5000,200,0.1,0.9,100,100,500
288,24.8163,3 5 1 0 2 0 3 1 4 1 6 ,5,5000,200,0.1,0.9,100,100,500
264,24.8163,4 2 6 5 2 1 3 1 4 2 0 ,5,5000,200,0.1,0.9,100,100,500
290,24.8163,3 5 4 0 3 4 6 4 2 0 1 ,5,5000,200,0.1,0.9,100,100,500
291,24.8163,4 1 4 5 3 3 6 1 0 3 2 ,5,5000,200,0.1,0.9,100,100,500
325,24.8163,4 1 4 5 3 3 6 1 0 3 2 ,5,5000,200,0.1,0.9,100,100,500
249,24.8163,0 1 3 2 4 5 1 1 6 2 0 ,5,5000,200,0.1,0.9,100,100,500
278,24.8163,1 3 4 0 2 0 6 5 0 3 1 ,5,5000,200,0.1,0.9,100,100,500
221,24.8163,2 1 6 3 4 1 0 5 1 3 2 ,5,5000,200,0.1,0.9,100,100,500
247,24.8163,0 4 3 2 0 5 4 4 6 2 1 ,5,5000,200,0.1,0.8,100,100,500
232,24.8163,1 3 4 0 2 0 6 5 0 3 1 ,5,5000,200,0.1,0.8,100,100,500
244,24.8163,2 3 6 4 2 3 0 4 1 5 3 ,5,5000,200,0.1,0.8,100,100,500
242,24.8163,2 5 4 0 2 4 3 4 6 0 1 ,5,5000,200,0.1,0.8,100,100,500
252,24.8163,1 3 4 0 2 0 6 5 0 3 1 ,5,5000,200,0.1,0.8,100,100,500
219,24.8163,3 5 2 0 3 0 1 2 4 2 6 ,5,5000,200,0.1,0.8,100,100,500
207,24.8163,2 1 2 5 3 3 4 1 0 3 6 ,5,5000,200,0.1,0.8,100,100,500
221,21.5951,1 2 1 0 4 5 0 0 6 0 3 ,5,5000,200,0.1,0.8,100,100,500
273,24.8163,1 5 4 4 3 0 1 4 6 0 2 ,5,5000,200,0.1,0.8,100,100,500
251,24.8163,0 4 3 2 0 5 4 4 6 2 1 ,5,5000,200,0.1,0.8,100,100,500
262,24.8163,3 5 4 0 3 4 6 4 2 0 1 ,5,5000,200,0.1,0.7,100,100,500
