iter_count,highest_fit,best_circuit,no_units,iter_max,best_count_lim,p_mutation,p_crossing,no_circuits,value_weight,waste_weight
289,47.5095,6 5 7 9 2 3 11 7 4 5 6 10 3 9 1 0 8 5 3 5 7 ,10,5000,200,0.01,1,100,100,500
601,165.753,2 10 8 8 9 8 1 0 5 3 7 0 2 8 4 5 11 0 3 8 6 ,10,5000,200,0.01,1,100,100,500
430,165.753,3 4 1 4 5 0 7 0 9 10 0 4 3 5 11 0 8 1 6 0 2 ,10,5000,200,0.01,1,100,100,500
391,48.0167,5 6 7 4 3 3 9 0 7 1 11 1 8 10 0 6 5 1 2 3 4 ,10,5000,200,0.01,1,100,100,500
737,165.753,1 3 8 0 6 8 5 10 0 0 2 9 11 0 7 0 4 3 9 3 1 ,10,5000,200,0.01,1,100,100,500
723,165.753,6 1 8 10 0 8 5 1 6 0 2 3 11 0 9 0 4 1 3 0 7 ,10,5000,200,0.01,1,100,100,500
658,165.753,1 7 1 4 9 7 0 0 11 7 2 4 8 2 3 10 4 4 6 4 5 ,10,5000,200,0.01,1,100,100,500
880,165.753,7 3 9 0 6 3 7 10 0 0 8 2 11 0 4 0 1 9 5 3 2 ,10,5000,200,0.01,1,100,100,500
714,165.753,0 3 9 6 8 5 0 5 6 3 7 10 3 5 2 3 1 2 11 3 4 ,10,5000,200,0.01,1,100,100,500
702,165.753,4 5 3 9 11 8 9 5 6 5 7 8 2 2 1 5 0 10 5 8 4 ,10,5000,200,0.01,1,100,100,500
866,165.753,3 1 3 10 6 0 11 6 7 9 2 6 8 1 9 6 5 6 4 1 0 ,10,5000,200,0.01,0.9,100,100,500
217,78.8971,6 9 1 6 2 3 5 9 8 9 3 3 7 0 2 4 11 4 0 10 4 ,10,5000,200,0.01,0.9,100,100,500
670,165.753,4 7 3 8 2 8 5 9 11 8 1 8 0 10 8 6 9 6 7 6 4 ,10,5000,200,0.01,0.9,100,100,500
613,165.753,7 4 11 6 8 10 6 2 4 2 7 3 0 2 3 6 1 6 9 6 5 ,10,5000,200,0.01,0.9,100,100,500
518,57.8934,2 4 3 8 6 4 7 5 8 3 8 10 0 5 2 3 11 5 9 5 1 ,10,5000,200,0.01,0.9,100,100,500
819,165.753,1 10 2 2 9 0 5 7 11 2 6 0 7 5 3 0 1 2 4 2 8 ,10,5000,200,0.01,0.9,100,100,500
861,165.753,5 9 5 8 7 8 6 9 0 0 11 8 2 8 1 3 4 9 3 10 8 ,10,5000,200,0.01,0.9,100,100,500
666,165.753,9 8 3 4 11 0 7 8 4 8 9 0 2 3 1 0 6 10 0 0 5 ,10,5000,200,0.01,0.9,100,100,500
477,165.753,8 3 8 3 5 1 7 10 1 1 6 3 0 1 2 5 9 1 4 0 11 ,10,5000,200,0.01,0.9,100,100,500
295,26.5746,2 7 1 4 8 0 8 9 11 5 7 10 3 7 3 5 0 4 6 2 1 ,10,5000,200,0.01,0.9,100,100,500
621,94.1974,7 10 2 6 5 8 9 8 7 3 11 3 4 0 9 6 1 10 0 0 3 ,10,5000,200,0.01,0.8,100,100,500
917,165.753,0 2 6 3 0 3 4 10 2 3 1 2 7 2 9 4 8 1 11 2 5 ,10,5000,200,0.01,0.8,100,100,500
664,165.753,9 2 7 7 11 10 5 5 8 5 6 2 0 0 1 2 9 5 4 5 3 ,10,5000,200,0.01,0.8,100,100,500
738,59.9606,7 8 3 8 7 1 11 5 9 8 5 8 0 7 2 5 3 10 1 4 6 ,10,5000,200,0.01,0.8,100,100,500
475,165.753,3 4 2 7 5 4 1 4 9 6 7 8 11 10 4 6 8 6 3 4 0 ,10,5000,200,0.01,0.8,100,100,500
1304,165.753,7 2 7 6 4 10 6 6 9 5 8 2 0 2 5 6 3 0 11 6 1 ,10,5000,200,0.01,0.8,100,100,500
734,165.753,3 9 11 8 7 8 1 8 2 10 8 4 9 5 0 8 6 4 5 4 3 ,10,5000,200,0.01,0.8,100,100,500
811,52.3787,9 8 9 10 5 8 4 10 1 8 0 1 6 10 2 2 11 3 5 4 7 ,10,5000,200,0.01,0.8,100,100,500
539,165.753,3 9 7 8 5 9 0 9 2 1 6 8 3 5 11 9 4 10 9 8 1 ,10,5000,200,0.01,0.8,100,100,500
868,165.753,3 8 4 8 6 10 8 8 1 9 7 2 3 8 0 5 11 2 9 2 5 ,10,5000,200,0.01,0.8,100,100,500
